# ATRAN synthetic spectrum for 2800-6000nm, unconvolved, inverse, resampled to 0.02nm.
# Input parameters: Obs Altitude: 14000 feet, Obs Latitude: 39 degrees,
# Water Vapor Overburden: 2000 microns, Std Atmosphere with: 2 Layers,
# Zenith Angle: 48 degrees, Wavelength Range: 2.8 - 6.0 microns, Smoothing R:	0 
# units Nanometer
# wavelengths in IN VACUUM
2807.120 1.0000000
2807.140 1.0000000
2807.160 1.0000000
2807.180 1.0000000
2807.200 1.0000000
2807.220 1.0000000
2807.240 1.0000000
2807.260 1.0000000
2807.280 1.0000000
2807.300 0.9999252
2807.320 0.9997531
2807.340 0.9995374
2807.360 0.9994733
2807.380 0.9996681
2807.400 0.9999278
2807.420 1.0000000
2807.440 1.0000000
2807.460 1.0000000
2807.480 1.0000000
2807.500 1.0000000
2807.520 1.0000000
2807.540 0.9999099
2807.560 0.9990134
2807.580 0.9952112
2807.600 0.9892302
2807.620 0.9827503
2807.640 0.9772771
2807.660 0.9733939
2807.680 0.9710316
2807.700 0.9706627
2807.720 0.9722591
2807.740 0.9747759
2807.760 0.9773911
2807.780 0.9809213
2807.800 0.9858402
2807.820 0.9917172
2807.840 0.9956544
2807.860 0.9978671
2807.880 0.9992825
2807.900 0.9997545
2807.920 1.0000000
2807.940 1.0000000
2807.960 1.0000000
2807.980 1.0000000
2808.000 1.0000000
2808.020 1.0000000
2808.040 1.0000000
2808.060 1.0000000
2808.080 1.0000000
2808.100 1.0000000
2808.120 1.0000000
2808.140 1.0000000
2808.160 1.0000000
2808.180 1.0000000
2808.200 0.9999478
2808.220 1.0000000
2808.240 1.0000000
2808.260 1.0000000
2808.280 1.0000000
2808.300 1.0000000
2808.320 0.9999354
2808.340 0.9992019
2808.360 0.9981205
2808.380 0.9976196
2808.400 0.9958520
2808.420 0.9963175
2808.440 0.9985506
2808.460 0.9999296
2808.480 1.0000000
2808.500 1.0000000
2808.520 0.9994241
2808.540 0.9985410
2808.560 0.9984325
2808.580 0.9988500
2808.600 0.9993695
2808.620 0.9997561
2808.640 0.9999260
2808.660 1.0000000
2808.680 1.0000000
2808.700 1.0000000
2808.720 1.0000000
2808.740 1.0000000
2808.760 1.0000000
2808.780 1.0000000
2808.800 1.0000000
2808.820 1.0000000
2808.840 1.0000000
2808.860 1.0000000
2808.880 1.0000000
2808.900 1.0000000
2808.920 1.0000000
2808.940 1.0000000
2808.960 1.0000000
2808.980 1.0000000
2809.000 1.0000000
2809.020 1.0000000
2809.040 1.0000000
2809.060 1.0000000
2809.080 1.0000000
2809.100 1.0000000
2809.120 0.9999032
2809.140 0.9997867
2809.160 0.9997279
2809.180 0.9998883
2809.200 1.0000000
2809.220 0.9991057
2809.240 0.9974197
2809.260 0.9962314
2809.280 0.9915692
2809.300 0.9875407
2809.320 0.9872748
2809.340 0.9917088
2809.360 0.9981707
2809.380 1.0000000
2809.400 1.0000000
2809.420 0.9974262
2809.440 0.9834190
2809.460 0.9646667
2809.480 0.9499220
2809.500 0.9420229
2809.520 0.9423665
2809.540 0.9548428
2809.560 0.9785031
2809.580 0.9648968
2809.600 0.9716402
2809.620 0.9846391
2809.640 0.9959930
2809.660 0.9998865
2809.680 1.0000000
2809.700 1.0000000
2809.720 1.0000000
2809.740 1.0000000
2809.760 0.9995383
2809.780 0.9937391
2809.800 0.9777922
2809.820 0.9651362
2809.840 0.9646815
2809.860 0.9354094
2809.880 0.9258621
2809.900 0.9173943
2809.920 0.8941307
2809.940 0.8893664
2809.960 0.9053538
2809.980 0.9405098
2810.000 0.9777098
2810.020 0.9987094
2810.040 1.0000000
2810.060 0.9986424
2810.080 0.9814636
2810.100 0.9617199
2810.120 0.9707879
2810.140 0.9935666
2810.160 0.9802828
2810.180 0.9850970
2810.200 0.9987200
2810.220 0.9999593
2810.240 0.9989637
2810.260 0.9991623
2810.280 1.0000000
2810.300 1.0000000
2810.320 1.0000000
2810.340 1.0000000
2810.360 0.9984715
2810.380 0.9865212
2810.400 0.9707230
2810.420 0.9722912
